PaperID,Abstract
1732404,"A ship, moving with small acceleration in a reservoir of uniform depth, can be subjected to a sudden hydrodynamical impact similar to collision with an underwater rock, and on water surface unusual solitary wave will start running. The factors responsible for formation of solitons induced by a moving ship are analyzed. Emphasis is given to a phenomenon observed by John Scott Russell more 170 years ago when a sudden stop of a boat preceded the occurrence of exotic water dome. In dramatic changes of polemic about the stability and mathematical description of a solitary wave, the question why ""Russell's wave"" occurred has not been raised, though attempts its recreation invariably suffered failure. In our report the conditions disclosing the principle of the famous event as a critical phenomenon are described. In a reservoir of uniform depth a ship can confront by a dynamic barrier within narrow limits of ship's speed and acceleration. In a wider interval of parameters a ship generates a satellite wave, which can be transformed in a different-locking soliton. These phenomena can be classified into an extensive category of dynamic barrier effects including the transition of aircrafts through the sound barrier."
1732405,We propose a general derivation of differential cross section in quark-quark and quark-gluon scatterings at fixed impact parameters. The derivation is well defined and free of ambiguity in the conventional one. The approach can be applied to a variety of partonic and hadronic scatterings in low- or high-energy particle collisions.
1732406,"Let $\bbK=\mathbb R, \mathbb C, \mathbb H$ be the field of real, complex or quaternionic numbers and $M_{p, q}(\bbK)$ the vector space of all $p\times q$-matrices. Let $X$ be the matrix unit ball in $M_{n-r, r}(\bbK)$ consisting of contractive matrices. As a symmetric space, $X=G/K=O(n-r, r)/O(n-r)\times O(r)$, $U(n-r, r)/U(n-r)\times U(r)$ and respectively $Sp(n-r, r)/Sp(n-r)\times Sp(r)$. The matrix unit ball $y_0$ in $M_{r^\prime-r, r}$ with $r^\prime \le n-1$ is a totally geodesic submanifold of $X$ and let $Y$ be the set of all $G$-translations of the submanifold $y_0$. The set $Y$ is then a manifold and an affine symmetric space. We consider the Radon transform $\mathcal Rf(y)$ for functions $f\in C_0^\infty(X)$ defined by integration of $f$ over the subset $y$, and the dual transform $\mathcal R^t F(x), x\in X$ for functions $F(y)$ on $Y$. We find inversion formulas by constructing explicit certain invariant differential operators."
1732407,"We present preliminary results of an optical survey for Planetary Nebulae (PNe) in the northern part of the Galactic Bulge. In particular, observations at wavelengths corresponding to the [O III] 5007 emission line have been carried out with the 0.3 m telescope at Skinakas Observatory, where we have detected several new PNe and have rediscovered known and known-possible PNe from that region."
1732408,"We present sensitive, high angular resolution molecular line observations of C18O and N2H+ toward the dark globule B68. We directly compare these data with the near-infrared extinction measurements of Alves, Lada, & Lada to derive the first evidence for the depletion of N2H+, and by inference N2, in a prestellar dark cloud. We also find widespread C18O depletion throughout the centrally condensed core of the B68 cloud. Specifically, we find the N2H+ emission to peak in a shell partially surrounding the peak of dust extinction. Moreover, N2H+ peaks inside the much larger C18O depletion hole and has a smaller depletion zone, confirming theoretical predictions. These data are analyzed through a direct coupling of time-dependent chemical models to a radiation transfer code. This analysis highlights the importance of photodissociation at cloud edges and suggests that the CO abundance declines by 2 orders of magnitude from edge to center. In contrast, N2H+ declines in abundance, at minimum, by at least a factor of 2. Indeed, it is entirely possible that both N2H+ and N2 are completely absent from the central regions of the B68 core. The depletion of N2H+, and its parent molecule N2, opens up the possibility that the centers of dense cores, prior to the formation of a star, may evade detection by conventional methods of probing cores using molecular emission. Under these conditions, H2D+ may be the sole viable molecular probe of the innermost regions of star-forming cores."
1732409,The last years have been an exciting period for the field of the Cosmic Microwave Background (CMB) research. With recent CMB balloon-borne and ground-based experiments we are entering a new era of 'precision' cosmology that enables us to use the CMB anisotropy measurements to constrain the cosmological parameters and test new theoretical scenarios.
1732410,"This paper summarises a numerical investigation of phase mixing in time-independent Hamiltonian systems that admit a coexistence of regular and chaotic phase space regions, allowing also for low amplitude perturbations idealised as periodic driving, friction, and/or white and colored noise. The evolution of initially localised ensembles of orbits was probed through lower order moments and coarse-grained distribution functions. In the absence of time-dependent perturbations, regular ensembles disperse initially as a power law in time and only exhibit a coarse-grained approach towards an invariant equilibrium over comparatively long times. Chaotic ensembles generally diverge exponentially fast on a time scale related to a typical finite time Lyapunov exponent, but can exhibit complex behaviour if they are impacted by the effects of cantori or the Arnold web. Viewed over somewhat longer times, chaotic ensembles typical converge exponentially towards an invariant or near-invariant equilibrium. This, however, need not correspond to a true equilibrium, which may only be approached over very long time scales. Time-dependent perturbations can dramatically increase the efficiency of phase mixing, both by accelerating the approach towards a near-equilibrium and by facilitating diffusion through cantori or along the Arnold web so as to accelerate the approach towards a true equilibrium. The efficacy of such perturbations typically scales logarithmically in amplitude, but is comparatively insensitive to most other details, a conclusion which reinforces the interpretation that the perturbations act via a resonant coupling."
1732411,"Recent observations of excess radiation at extreme ultraviolet and hard X-ray energies straddling the well known thermal soft X-ray emission have provided new tools and puzzles for investigation of the acceleration of nonthermal particles in the intercluster medium of clusters of galaxies. It is shown that these radiations can be produced by the inverse Compton upscattering of the cosmic microwave background photons by the same population of relativistic electrons that produce the well known diffuse radio radiation via the synchrotron mechanism. It is shown that the commonly discussed discrepancy between the value of the magnetic field required for the production of these radiation with that obtained from Faraday rotation measures could be resolved by more realistic models and by considerations of observational selection effects. In a brief discussion of the acceleration process it is argued that the most likely scenario is reacceleration of injected relativistic electrons involving shocks and turbulence. The seed electrons cannot be the background thermal electrons because of energetic considerations, and a steady state situation may not agree with the details of the observed spectra. Episodic generation of shocks and turbulence or episodic injection of relativistic electrons is a more likely scenario for acceleration."
1732412,"The aim of the present article is to give an overview of spectral theory on metric graphs guided by spectral geometry on discrete graphs and manifolds. We present the basic concept of metric graphs and natural Laplacians acting on it and explicitly allow infinite graphs. Motivated by the general form of a Laplacian on a metric graph, we define a new type of combinatorial Laplacian. With this generalised discrete Laplacian, it is possible to relate the spectral theory on discrete and metric graphs. Moreover, we describe a connection of metric graphs with manifolds. Finally, we comment on Cheeger's inequality and trace formulas for metric and discrete (generalised) Laplacians."
1732413,"We present near-IR observations of AGN and star-forming objects in the field of the radio galaxy 53W002 at z=2.39. The star-forming objects, of special interest as candidate protogalactic objects, are uniformly very blue in continuum slope, which fits with the strong Lyman alpha emission in indicating metallicity less than half solar. They fall in a range of luminosity and metallicity not populated by local objects. NICMOS spectroscopy detects [O III] emission for two objects and sets interesting limits for the rest. These data are satisfied by model stellar populations which have been forming stars for the last 2-5 million years. We see no evidence for older populations, either in broadband colors or as redder halos around the star-forming regions. These results suggest that the compact star-forming objects we see at z=2.0-2.5 are indeed early stages in the building of galaxies, rather than transient star-forming events in larger systems. They also also permit an alternative scheme, in which these low-mass systems are blowing winds rather than self-enriching, and should fade rapidly with cosmic epoch. For the three prominent AGN at z=2.39, emission-line ratios show metallicities just as high as in nearby systems. The ""ionization cones"" appear in [O III] and H lines, with continuum reflection in some cases as well. The contrast between the AGN and fainter star-forming objects can be broadly accomodated in a hierarchical formation picture, though there are still important unknowns as to the fate of the star-forming objects. Comment: 9 JPEG figures; accepted by the Astronomical Journal"
