ID,PaperID,Authors
1,1732404,'Stanyslav Zakharov'
2,1732404, 'Alexey Kryukov'
3,1732405,'Shouwan Chen\nAnhui University'
4,1732405, 'Jian Deng\nShandong University'
5,1732405, 'Jian-hua Gao\nShandong University'
6,1732405, 'Qun Wang'
7,1732406,'Genkai Zhang\nChalmers University of Technology'
8,1732407,'P. Boumis\nNational Observatory of Athens'
9,1732407, 'John Papamastorakis'
10,1732408,'Edwin Bergin\nUniversity of Michigan'
11,1732408, 'João Alves'
12,1732408, 'Tracy Huard'
13,1732408, 'Charles J. Lada'
14,1732409,'Alessandro Melchiorri\nSapienza University of Rome'
15,1732410,'Henry E. Kandrup'
16,1732410, 'Steven Novotny\nUniversity of Florida'
17,1732411,'Vahe Petrosian\nStanford University'
18,1732412,'Olaf Post'
19,1732413,'William C. Keel'
20,1732413, 'Wentao Wu'
21,1732413, 'Ian Waddington'
22,1732413, 'Rogier A. Windhorst'
23,1732413, 'Sebastian M. Pascarelle'
24,1732414,'Angelica de Oliveira Costa'
25,1732414, 'Max Tegmark'
26,1732414, 'Matias Zaldarriaga'
27,1732414, 'Denis Barkats'
28,1732414, 'Joshua Gundersen'
29,1732414, 'Matt M. Hedman'
30,1732414, 'Suzanne T. Staggs'
31,1732414, 'Bruce Winstein'
32,1732415,'Renato Dupke\nON'
33,1732415, 'Joel N. Bregman'
34,1732416,'Motokazu Takizawa'
35,1732417,'B. Aubert'
36,1732418,'Yancy L. Shirley'
37,1732418, 'Neal J. Evans II'
38,1732418, 'Jonathan M. C. Rawlings'
39,1732419,'Bing Zhang'
40,1732419, 'Rosemary F. G. Wyse'
41,1732419, 'Massimo Stiavelli'
42,1732419, 'Joe Silk\nUniversity of Oxford'
43,1732420,'A. M. Brooks'
44,1732420, 'KA Venn'
45,1732420, 'D. L. Lambert'
46,1732420, 'M. Lemke\nFriedrich-Alexander-University of Erlangen-Nürnberg'
47,1732421,'M. Jura'
48,1732421, 'Christine Chen\nSpace Telescope Science Institute'
49,1732421, 'Peter Plavchan\nMissouri State University'
50,1732422,'Sebastien Galtier\nUniversité Paris-Sud-Saclay'
51,1732423,'Piero Barone\nItalian National Research Council'
52,1732424,'Octavio Valenzuela\nUniversidad Nacional Autónoma de México'
53,1732424, 'Anatoly Klypin\nNew Mexico State University'
54,1732425,'Hugh M. Van Horn'
55,1732425, 'John H. Thomas\nUniversity of Rochester'
56,1732425, 'Adam Frank\nUniversity of Rochester'
57,1732425, 'Eric G. Blackman\nUniversity of Rochester'
58,1732426,"""S. J. O'Toole"""
59,1732426, 'Timothy R. Bedding\nThe University of Sydney'
60,1732426, 'Hans Kjeldsen\nAarhus University'
61,1732426, 'T. H. Dall'
62,1732427,'Shinji Tsujikawa'
63,1732427, 'Bruce A. Bassett'
64,1732429,'E. Antonello\nNational Institute of Astrophysics'
65,1732429, 'D. Fugazza'
66,1732429, 'Luciano Mantegazza\nNational Institute of Astrophysics'
67,1732429, 'Mauro Stefanon\nLeiden University'
68,1732430,'M. C. Wyatt'
69,1732430, 'W. R. F. Dent'
70,1732431,'Yoshiaki Hagiwara\nToyo University'
71,1732431, 'C. Henkel'
72,1732431, 'W. A. Sherwood\nindependant'
73,1732431, 'Willem Baan\nNetherlands Institute for Radio Astronomy'
74,1732432,'F. K. Roepke'
75,1732432, 'W. Hillebrandt'
76,1732432, 'J. C. Niemeyer'
77,1732433,'Charles D. Dermer'
78,1732434,'Gianfranco De Zotti\nScuola Internazionale Superiore di Studi Avanzati di Trieste'
79,1732434, 'F. Perrotta\nScuola Internazionale Superiore di Studi Avanzati di Trieste'
80,1732434, 'Gian Luigi Granato'
81,1732434, 'Laura Silva\nNational Institute of Astrophysics'
82,1732435,'Martin Bureau\nUniversity of Oxford'
83,1732435, 'R. Bacon'
84,1732435, 'E. Emsellem'
85,1732435, 'Michele Cappellari\nUniversity of Oxford'
86,1732436,'Swapan Kumar Saha\nIndian Institute of Astrophysics'
87,1732436, 'V. Chinnappan'
88,1732437,'Alice C. Quillen\nUniversity of Rochester'
89,1732438,'J. J. Charfman'
90,1732438, 'J. B. Bsc'
91,1732438, 'K. A. Eriksen'
92,1732438, 'K. Knierman\nArizona State University'
93,1732439,'Joshua D. Simon'
94,1732439, 'Leo Blitz\nUniversity of California
95,1732439, Berkeley'
96,1732440,'C. S. Kochanek'
97,1732441,'John Mathis\n(Retired)'
98,1732441, 'Barbara A. Whitney'
99,1732441, 'Kenneth Wood'
100,1732442,'M Alvarez'
101,1732442," ""Daniele D'Armiento\nSapienza University of Rome"""
102,1732442, 'G. Agnetta'
103,1732442, 'A. Alberdi'
104,1732443,'D. Xenides'
105,1732443, 'Dimitrios Vlachos\nUniversity of Peloponnese'
106,1732443, 'T. E. Simos'
107,1732444,'Katy Lancaster'
108,1732444, 'Mark Birkinshaw'
109,1732444, 'M. P. Gawroński\nNicolaus Copernicus University'
110,1732444, 'Ian Browne'
111,1732445,'Shelly Harvey'
112,1732445, 'Keiko Kawamuro'
113,1732445, 'Olga Plamenevskaya'
114,1732446,'Hiromichi Takagi'
115,1732446, 'Francesco Zucconi'
116,1732447,'C. McKinney'
117,1732447, 'Charles Gammie\nUniversity of Illinois
118,1732447, Urbana-Champaign'
119,1732448,'Mark Seibert'
120,1732448, 'Timothy M. Heckman'
121,1732448, 'Gerhardt R. Meurer\nUniversity of Western Australia'
122,1732449,'Mitsuru Honda'
123,1732449, 'Yasuko S. Honda'
124,1732450,'J. Dubau\nFrench National Centre for Scientific Research'
125,1732450, 'Delphine Porquet\nAix-Marseille Université'
126,1732451,'Iain Gordon'
127,1732452,'Sandro Mereghetti\nNational Institute of Astrophysics'
128,1732452, 'Rino Bandiera\nNational Institute of Astrophysics'
129,1732452, 'Fabrizio Bocchino\nNational Institute of Astrophysics'
