PaperID,PaperTitle,PublicationDate,PaperLocated,DOI,#Citation,#Reference,#Existed Reference,#Not in RG List
1732404,Ship-induced solitons as a manifestation of critical phenomena,08-Feb,arXiv,,0 ,23,17,6
1732405,(PDF) A general derivation of differential cross section in quark-quark and quark-gluon scatterings at fixed impact parameter,09-Dec,Frontiers of Physics in China 4(4):509-516,10.1007/s11467-009-0064-0,14 ,19,12,7
1732406,(PDF) Radon transform on symmetric matrix domains,07-Dec,Transactions of the American Mathematical Society 361(3),10.1090/S0002-9947-08-04658-8,6 ,31,28,3
1732407,Optical Survey of Planetary Nebulae in the northern Galactic Bulge | Request PDF,02-May,arXiv,,0 ,13,1,12
1732408,N2H+ and C18O depletion in a cold dark cloud | Request PDF,02-Apr,The Astrophysical Journal 570(2):L101,10.1086/340950,256 ,38,14,24
1732409,CMB and Cosmological Parameters: Current Status and Prospects | Request PDF,02-May,arXiv,,3 ,179,60,119
1732410,Phase Mixing in Unperturbed and Perturbed Hamiltonian Systems | Request PDF,02-May,Celestial Mechanics and Dynamical Astronomy 88(1),10.1023/B:CELE.0000009380.17257.98,14 ,70,40,49
1732411,(PDF) Nonthermal Radiation and Acceleration of Electrons in Clusters of Galaxies,02-Aug,arXiv,,8 ,46,15,31
1732412,Spectral analysis of metric graphs and related spaces,08-Jan,arXiv,,14 ,51,35,12
1732413,"Active Nuclei and Star-Forming Objects at z>2: Metallicities, Winds, and Formation Histories | Request PDF",02-Apr,The Astronomical Journal 123(6),10.1086/340696,17 ,70,25,64
1732414,(PDF) First attempt at measuring the CMB cross-polarization,02-Apr,Physical Review D 67(2),10.1103/PhysRevD.67.023003,24 ,86,48,38
1732415,(PDF) Prospects for Detection of Intracluster Gas Bulk Velocities through the Sunyaev-Zeldovich Effect,02-Aug,The Astrophysical Journal 575(2):634-639,10.1086/341346,7 ,51,25,26
1732416,Evolution of Hard X-Ray Radiation from Clusters of Galaxies: Bremsstrahlung or Inverse Compton Scattering?,02-May,Publications- Astronomical Society of Japan 54(3),10.1093/pasj/54.3.363,7 ,80,39,70
1732417,"Study of B0 --> l+l'- decays (l,l' = e,mu)",07-Dec,arXiv,,0 ,45,7,38
1732418,Tracing the Mass during Low-Mass Star Formation. III. Models of the Submillimeter Dust Continuum Emission from Class 0 Protostars,02-Apr,The Astrophysical Journal 575(1),10.1086/341286,145 ,88,50,38
1732419,The Dynamical Evolution of Substructure | Request PDF,02-Apr,Monthly Notices of the Royal Astronomical Society 332(3),10.1046/j.1365-8711.2002.05314.x,17 ,170,110,179
1732420,(PDF) Boron in the Small Magellanic Cloud: A Novel Test of Light Element Production,02-Apr,The Astrophysical Journal 573(2),10.1086/340662,7 ,140,62,207
1732421,The massive disk around OH 231.8+4.2 | Request PDF,02-Apr,The Astrophysical Journal 574(2),10.1086/341091,16 ,75,34,65
1732422,(PDF) Von Kármán-Howarth equations for Hall magnetohydrodynamic flows,08-Feb,Physical Review E 77(1 Pt 2):015302,10.1103/PhysRevE.77.015302,77 ,35,40,19
1732423,A new transform for solving the noisy complex exponentials approximation problem | Request PDF,08-Feb,Journal of Approximation Theory 155(1),10.1016/j.jat.2008.04.007,18 ,40,35,5
1732424,(PDF) Secular bar formation in galaxies with significant amount of dark matter,02-Apr,Monthly Notices of the Royal Astronomical Society 345(2),10.1046/j.1365-8711.2003.06947.x,152 ,95,78,101
1732425,(PDF) Fuel-Supply-limited Stellar Relaxation Oscillations: Application to Multiple Rings around Asymptotic Giant Branch Stars and Planetary Nebulae,08-Dec,The Astrophysical Journal 585(2):983,10.1086/346148,3 ,48,30,18
1732426,Time‐series spectroscopy of pulsating sdB stars – II. Velocity analysis of PG 1605+072★ | Request PDF,02-Aug,Monthly Notices of the Royal Astronomical Society 334(2):471 - 480,10.1046/j.1365-8711.2002.05537.x,28 ,23,14,9
1732427,When can preheating affect the CMB? | Request PDF,02-Apr,Physics Letters B 536(1-2):9-17,10.1016/S0370-2693(02)01813-0,53 ,96,51,45
1732429,(PDF) Variable stars in nearby galaxies. V. Search for Cepheids in Field A of NGC 6822,02-Apr,arXiv,,7 ,29,11,18
1732430,Collisional Processes in Extrasolar Planetsimal Disks - Dust Clumps in Fomalhaut's Debris Disk,02-May,arXiv,,24 ,97,20,77
1732431,(PDF) Red-shifted H2O emission in NGC3079: More evidence for a pc- scale circumnuclear torus?,02-May,Astronomy and Astrophysics 387(2),10.1051/0004-6361:20020508,11 ,25,18,21
1732432,Investigating the Flame Microstructure in Type Ia Supernovae,02-May,arXiv,,1 ,15,8,7
1732433,Gamma Ray Bursts and the Collapsar Model: a comment on astro-ph/0203391 and astro-ph/0203467,02-May,arXiv,,2 ,20,4,16
1732434,(PDF) Millimeter-band Surveys of Extragalactic Sources,02-May,arXiv,,1 ,109,21,88
1732435,(PDF) SAURON observations of disks in spheroids,02-May,arXiv,,2 ,59,27,32
1732436,(PDF) Performance of the low light level CCD camera for speckle imaging,02-Oct,arXiv,,2 ,2,0,2
