ID,PaperID,Theme
1,1732404,
2,1732405,
3,1732406,
4,1732407,
5,1732408,
6,1732409,'Cosmology'
7,1732409, 'Physical Sciences'
8,1732409, 'Physical Cosmology'
9,1732409, 'Cosmic Microwave Background'
10,1732410,'Physical Sciences'
11,1732410, 'Theoretical Physics'
12,1732410, 'Foundations of Quantum Mechanics'
13,1732410, 'Hamiltonian'
14,1732411,'Ornithology'
15,1732411, 'Biological Science'
16,1732411, 'Zoology'
17,1732411, 'birds'
18,1732411, 'Electron'
19,1732412,'Mathematics'
20,1732412, 'Graphs'
21,1732413,'Thin Films Synthesis'
22,1732413, 'Material Synthesis'
23,1732413, 'Physics'
24,1732413, 'Materials Science'
25,1732413, 'Metallization'
26,1732414,'Physical Sciences'
27,1732414, 'Cosmology'
28,1732414, 'Physical Cosmology'
29,1732414, 'Cosmic Microwave Background'
30,1732415,
31,1732416,'Physical Sciences'
32,1732416, 'Electromagnetic Phenomena'
33,1732416, 'Electromagnetism'
34,1732416, 'Bremsstrahlung'
35,1732417,'Physical Sciences'
36,1732417, 'Particle Physics'
37,1732417, 'Elementary Particle Physics'
38,1732417, 'High Energy Physics'
39,1732418,
40,1732419,'Cosmology'
41,1732419, 'galaxies'
42,1732420,
43,1732421,
44,1732422,'Physical Sciences'
45,1732422, 'Plasma Physics'
46,1732422, 'Magnetohydrodynamics'
47,1732423,
48,1732424,'Cosmology'
49,1732424, 'Physical Sciences'
50,1732424, 'Physical Cosmology'
51,1732424, 'Dark Matter'
52,1732425,
53,1732426,
54,1732427,'Physical Sciences'
55,1732427, 'Cosmology'
56,1732427, 'Physical Cosmology'
57,1732427, 'Cosmic Microwave Background'
58,1732429,
59,1732430,'Universe'
60,1732430, 'Galaxy'
61,1732430, 'Astronomy'
62,1732430, 'Space Science'
63,1732430, 'Dust'
64,1732431,
65,1732432,
66,1732433,
67,1732434,
68,1732435,
69,1732436,
70,1732437,'Sound Studies'
71,1732437, 'History'
72,1732437, 'Musicology'
73,1732437, 'Resonance'
74,1732438,
75,1732439,'Cosmology'
76,1732439, 'galaxies'
77,1732440,'Cosmology'
78,1732440, 'Physical Cosmology'
79,1732440, 'Physics'
80,1732440, 'Dark Matter'
81,1732441,'Physics'
82,1732441, 'Electromagnetism'
83,1732441, 'Scattering'
84,1732442,
85,1732443,
86,1732444,
87,1732445,
88,1732446,'Clinical Psychology'
89,1732446, 'Psychology'
90,1732446, 'Power (Psychology)'
91,1732447,
92,1732448,
93,1732449,
94,1732450,
95,1732451,'Mathematics'
96,1732451, 'Algebra'
97,1732452,'Astrophysics'
98,1732452, 'Supernovae'
99,1732452, 'Space Science'
100,1732452, 'Supernova Remnants'
101,1732453,'Physics'
102,1732453, 'Atomic
103,1732453, Molecular and Optical Physics'
104,1732453, 'Ionization'
105,1732454,'Universe'
106,1732454, 'Astronomy'
107,1732454, 'Space Science'
108,1732454, 'Galaxy'
109,1732455,
110,1732456,
111,1732457,
112,1732458,'Cosmology'
113,1732458, 'galaxies'
114,1732460,'Darkness'
115,1732461,
116,1732462,
117,1732463,
118,1732464,
119,1732465,
120,1732466,
121,1732467,'Optical Devices'
122,1732467, 'Physics'
123,1732467, 'Optics'
124,1732467, 'Lenses'
125,1732468,'Cosmology'
126,1732468, 'Physics'
127,1732468, 'Quantum Cosmology'
128,1732469,'Planetary Science'
129,1732469, 'Astronomy'
130,1732469, 'Space Science'
131,1732469, 'Pluto'
132,1732470,
133,1732471,
134,1732472,'Astrophysics'
135,1732472, 'Space Science'
136,1732472, 'Star Formation'
137,1732473,'Physics'
138,1732473, 'Geophysics'
139,1732473, 'Magnetics'
140,1732474,'Algebra'
141,1732474, 'Abstract Algebra'
142,1732474, 'Mathematics'
143,1732474, 'Representation Theory'
144,1732475,
145,1732476,'Astrophysics'
146,1732476, 'Space Science'
147,1732476, 'Gamma-Ray Bursts'
148,1732477,'Biomedical Instrumentation'
149,1732477, 'Medical Engineering'
150,1732477, 'Biomedical Devices'
151,1732477, 'Engineering'
152,1732477, 'X-Ray Sources'
153,1732478,'Celestial Mechanics'
154,1732478, 'Orbital Mechanics'
155,1732478, 'Astronomy'
156,1732478, 'Space Science'
157,1732478, 'Orbital Dynamics'
158,1732479,'Celestial Mechanics'
