ID,PaperID,Reference In RG
1,1732404,'253549750'
2,1732404, '11092832'
3,1732404, '7291608'
4,1732404, '6769448'
5,1732404, '270302999'
6,1732404, '266541338'
7,1732404, '257439056'
8,1732404, '247866233'
9,1732404, '239643151'
10,1732404, '234325393'
11,1732404, '223306326'
12,1732404, '223205464'
13,1732404, '37448930'
14,1732404, '37405775'
15,1732404, '37405761'
16,1732404, '30768888'
17,1732404, '30768887'
18,1732405,'243476744'
19,1732405, '242373283'
20,1732405, '235558122'
21,1732405, '7952610'
22,1732405, '235544586'
23,1732405, '222654529'
24,1732405, '222548242'
25,1732405, '222464315'
26,1732405, '222446565'
27,1732405, '2223882'
28,1732405, '1758320'
29,1732405, '2156983'
30,1732406,'285720960'
31,1732406, '285720885'
32,1732406, '269014525'
33,1732406, '268975590'
34,1732406, '265367468'
35,1732406, '254206086'
36,1732406, '248029553'
37,1732406, '246358378'
38,1732406, '245588835'
39,1732406, '243781824'
40,1732406, '243771518'
41,1732406, '240025026'
42,1732406, '239060586'
43,1732406, '228691641'
44,1732406, '226986266'
45,1732406, '225423870'
46,1732406, '225251748'
47,1732406, '226697935'
48,1732406, '222688708'
49,1732406, '222671102'
50,1732406, '222613213'
51,1732406, '38332350'
52,1732406, '30842625'
53,1732406, '2181665'
54,1732406, '2181453'
55,1732406, '2132552'
56,1732406, '2118859'
57,1732406, '2113548'
58,1732407,'46251570'
59,1732408,'200455730'
60,1732408, '11805914'
61,1732408, '2235213'
62,1732408, '1819595'
63,1732408, '274626422'
64,1732408, '234440049'
65,1732408, '234407902'
66,1732408, '234238609'
67,1732408, '28639357'
68,1732408, '23926091'
69,1732408, '12133716'
70,1732408, '2235091'
71,1732408, '2231079'
72,1732408, '2226774'
73,1732409,'235520369'
74,1732409, '222544741'
75,1732409, '23887738'
76,1732409, '12193031'
77,1732409, '11620841'
78,1732409, '2232987'
79,1732409, '2232954'
80,1732409, '2232237'
81,1732409, '2231595'
82,1732409, '2230864'
83,1732409, '2230746'
84,1732409, '2230019'
85,1732409, '2225894'
86,1732409, '2224150'
87,1732409, '2223830'
88,1732409, '241572302'
89,1732409, '238658875'
90,1732409, '235499225'
91,1732409, '234302497'
92,1732409, '234297883'
93,1732409, '234191920'
94,1732409, '227726220'
95,1732409, '227645152'
96,1732409, '226810518'
97,1732409, '223509340'
98,1732409, '222667673'
99,1732409, '222558677'
100,1732409, '222445170'
101,1732409, '222296645'
102,1732409, '222221218'
103,1732409, '23916405'
104,1732409, '23852593'
105,1732409, '12331936'
106,1732409, '12265523'
107,1732409, '12152669'
108,1732409, '11315722'
109,1732409, '2697482'
110,1732409, '2236650'
111,1732409, '2236553'
112,1732409, '2236480'
113,1732409, '2234670'
114,1732409, '2234516'
115,1732409, '2232778'
116,1732409, '2230079'
117,1732409, '2229927'
118,1732409, '2229828'
119,1732409, '2227723'
120,1732409, '2226662'
121,1732409, '2224127'
122,1732409, '2223785'
123,1732409, '2222588'
124,1732409, '2222050'
125,1732409, '2223219'
126,1732409, '2222028'
127,1732409, '2221352'
128,1732409, '1930123'
129,1732409, '1792904'
130,1732409, '2220741'
131,1732409, '1810537'
132,1732409, '1805290'
133,1732410,'301871036'
134,1732410, '301868729'
135,1732410, '228726535'
136,1732410, '11557761'
137,1732410, '11198490'
138,1732410, '3939105'
139,1732410, '2852092'
140,1732410, '2749088'
141,1732410, '2358286'
142,1732410, '1811926'
143,1732410, '1811341'
144,1732410, '1780441'
145,1732410, '344068707'
146,1732410, '276195545'
147,1732410, '265502935'
148,1732410, '246259771'
149,1732410, '246205291'
150,1732410, '245917187'
151,1732410, '245641819'
152,1732410, '239043622'
153,1732410, '235576019'
154,1732410, '234552581'
155,1732410, '234425107'
156,1732410, '234336311'
157,1732410, '234332412'
158,1732410, '234279655'
159,1732410, '230553799'
160,1732410, '227035571'
161,1732410, '226182820'
162,1732410, '224043755'
163,1732410, '223200535'
164,1732410, '202924393'
165,1732410, '13329382'
166,1732410, '13326963'
167,1732410, '13326564'
168,1732410, '12244374'
169,1732410, '11398236'
170,1732410, '2351950'
171,1732410, '2221154'
172,1732410, '1928760'
173,1732411,'234544905'
174,1732411, '4710954'
175,1732411, '234475826'
176,1732411, '234461130'
177,1732411, '234287997'
178,1732411, '23704137'
179,1732411, '14297348'
180,1732411, '13835527'
181,1732411, '12613830'
182,1732411, '2224555'
183,1732411, '1925838'
184,1732411, '1813532'
185,1732411, '1840814'
186,1732411, '1817605'
187,1732411, '1779392'
188,1732412,'251895689'
189,1732412, '248390627'
190,1732412, '248241595'
191,1732412, '233970656'
192,1732412, '220026800'
193,1732412, '220026789'
194,1732412, '220026656'
195,1732412, '40623614'
196,1732412, '2222882'
197,1732412, '2148456'
198,1732412, '2144544'
199,1732412, '2117893'
200,1732412, '2114023'
201,1732412, '2093828'
202,1732412, '2093766'
203,1732412, '2092988'
204,1732412, '2091873'
205,1732412, '313002736'
206,1732412, '265943902'
207,1732412, '265825974'
208,1732412, '245097104'
209,1732412, '243404389'
210,1732412, '243159511'
211,1732412, '228683943'
212,1732412, '228352600'
213,1732412, '227259097'
214,1732412, '225322179'
215,1732412, '225172758'
216,1732412, '222347566'
217,1732412, '2122610'
218,1732412, '2094246'
219,1732412, '2094117'
220,1732412, '2093923'
221,1732412, '1902531'
222,1732412, '1770935'
223,1732413,'242274273'
224,1732413, '234275233'
225,1732413, '24154504'
226,1732413, '23926273'
227,1732413, '1812304'
228,1732413, '1750326'
229,1732413, '250329516'
230,1732413, '234511121'
231,1732413, '234503683'
232,1732413, '234400609'
233,1732413, '234373101'
234,1732413, '234370175'
235,1732413, '234309088'
236,1732413, '234296069'
237,1732413, '234226704'
238,1732413, '232762757'
239,1732413, '227496294'
240,1732413, '23859380'
241,1732413, '23842559'
242,1732413, '23622131'
243,1732413, '23580012'
244,1732413, '2648769'
245,1732413, '2229673'
246,1732413, '2221088'
247,1732413, '1812025'
248,1732414,'253850006'
249,1732414, '249227920'
250,1732414, '249227842'
251,1732414, '278516362'
252,1732414, '277605336'
253,1732414, '276976728'
254,1732414, '263805571'
255,1732414, '253844274'
256,1732414, '252734818'
257,1732414, '244958236'
258,1732414, '234314804'
259,1732414, '236538680'
260,1732414, '235465672'
261,1732414, '232778409'
262,1732414, '222493644'
263,1732414, '24313525'
264,1732414, '24150022'
265,1732414, '222177733'
266,1732414, '11279048'
267,1732414, '11279047'
268,1732414, '2233127'
269,1732414, '2234514'
270,1732414, '2234479'
271,1732414, '2234055'
272,1732414, '2232973'
273,1732414, '2231959'
274,1732414, '2230961'
275,1732414, '2230218'
276,1732414, '2230548'
277,1732414, '2229784'
278,1732414, '2227138'
279,1732414, '2226800'
280,1732414, '2225365'
281,1732414, '2222850'
282,1732414, '2220848'
283,1732414, '1840451'
284,1732414, '1842806'
285,1732414, '1841464'
286,1732414, '1840531'
287,1732414, '1818843'
288,1732414, '1812981'
289,1732414, '1814595'
290,1732414, '1813800'
291,1732414, '1813472'
292,1732414, '1813344'
293,1732414, '1791225'
294,1732414, '1810403'
295,1732414, '1796204'
296,1732415,'252937448'
297,1732415, '241199544'
298,1732415, '234324675'
299,1732415, '263553418'
300,1732415, '255881606'
301,1732415, '253610507'
302,1732415, '253204714'
303,1732415, '236484181'
304,1732415, '234550100'
305,1732415, '234373341'
306,1732415, '23912688'
307,1732415, '226810518'
308,1732415, '222406744'
309,1732415, '30861273'
310,1732415, '30861241'
311,1732415, '2225055'
312,1732415, '1816931'
313,1732415, '2232759'
314,1732415, '1842957'
315,1732415, '1818476'
316,1732415, '1813063'
317,1732415, '1809499'
318,1732415, '1816004'
319,1732415, '1814470'
320,1732415, '1776083'
321,1732416,'258305657'
322,1732416, '258257643'
323,1732416, '249228839'
324,1732416, '249228695'
325,1732416, '234538288'
326,1732416, '4710954'
327,1732416, '2230564'
328,1732416, '2229932'
329,1732416, '2225594'
330,1732416, '2223038'
331,1732416, '2221473'
332,1732416, '1788897'
333,1732416, '268017870'
334,1732416, '253919137'
335,1732416, '249743849'
336,1732416, '245589057'
337,1732416, '234468644'
338,1732416, '234461130'
339,1732416, '234428448'
340,1732416, '234403600'
341,1732416, '234387682'
342,1732416, '234357749'
343,1732416, '222491529'
344,1732416, '30861241'
345,1732416, '23603133'
346,1732416, '12613830'
347,1732416, '12483512'
348,1732416, '4717978'
349,1732416, '2226262'
350,1732416, '2226087'
351,1732416, '2224555'
352,1732416, '2220099'
353,1732416, '1842957'
354,1732416, '1842685'
355,1732416, '1842124'
356,1732416, '1840402'
357,1732416, '1779392'
358,1732416, '1776083'
359,1732416, '1751069'
360,1732417,'243468286'
361,1732417, '226518075'
362,1732417, '222815679'
363,1732417, '243467633'
364,1732417, '229315720'
365,1732417, '222679945'
366,1732417, '222505212'
367,1732418,'258305028'
368,1732418, '234204734'
369,1732418, '234193646'
370,1732418, '23863040'
371,1732418, '23831848'
372,1732418, '23609198'
373,1732418, '4713725'
374,1732418, '4697858'
375,1732418, '4676376'
376,1732418, '4668539'
377,1732418, '2222687'
378,1732418, '2219617'
379,1732418, '1815791'
380,1732418, '1752138'
381,1732418, '253536197'
382,1732418, '252371494'
383,1732418, '240579369'
384,1732418, '234503158'
385,1732418, '234471922'
386,1732418, '234440746'
387,1732418, '234422539'
388,1732418, '234390724'
389,1732418, '234390562'
390,1732418, '234356669'
391,1732418, '234258439'
392,1732418, '234254429'
393,1732418, '234238824'
394,1732418, '234219182'
395,1732418, '228819230'
396,1732418, '227887684'
397,1732418, '227780011'
398,1732418, '227717158'
399,1732418, '227542569'
400,1732418, '226586163'
401,1732418, '223322364'
402,1732418, '200455809'
403,1732418, '32892959'
404,1732418, '24156964'
405,1732418, '23890122'
406,1732418, '23889429'
407,1732418, '23581910'
408,1732418, '12133716'
409,1732418, '4710646'
410,1732418, '4689873'
411,1732418, '4667400'
412,1732418, '2232298'
413,1732418, '2223049'
414,1732418, '2223007'
415,1732418, '1840758'
416,1732418, '1752648'
417,1732419,'258878011'
418,1732419, '253683321'
419,1732419, '249226465'
420,1732419, '240578862'
421,1732419, '234553326'
422,1732419, '234508383'
423,1732419, '234502833'
424,1732419, '234455600'
425,1732419, '234428364'
426,1732419, '234426658'
427,1732419, '234424661'
428,1732419, '234403594'
429,1732419, '234397758'
430,1732419, '234276718'
431,1732419, '234229188'
432,1732419, '23911785'
433,1732419, '23903181'
434,1732419, '260541931'
435,1732419, '252610779'
436,1732419, '252229012'
437,1732419, '236551204'
438,1732419, '234519427'
439,1732419, '234503348'
440,1732419, '234489323'
441,1732419, '234476354'
442,1732419, '234471639'
443,1732419, '234465495'
444,1732419, '234459146'
445,1732419, '234452624'
446,1732419, '234409583'
447,1732419, '234388229'
448,1732419, '234333324'
449,1732419, '234333090'
450,1732419, '234332013'
451,1732419, '234257897'
452,1732419, '234227361'
453,1732419, '234218433'
454,1732419, '232784618'
455,1732419, '232783506'
456,1732419, '229069689'
457,1732419, '227721833'
458,1732419, '227656926'
459,1732419, '227639460'
460,1732419, '207265067'
461,1732419, '207265051'
462,1732419, '207265039'
463,1732419, '207264904'
464,1732419, '23919027'
465,1732419, '23899979'
466,1732419, '23841052'
467,1732419, '23700300'
468,1732419, '23597716'
469,1732419, '23590981'
470,1732419, '12459789'
471,1732419, '2606542'
472,1732419, '2230067'
473,1732419, '2231859'
474,1732419, '2221843'
475,1732419, '2221238'
476,1732419, '1844880'
477,1732419, '1843500'
478,1732419, '1841860'
479,1732419, '1839956'
480,1732419, '1843521'
481,1732419, '1818636'
482,1732419, '1818181'
483,1732419, '1816774'
484,1732419, '1815870'
485,1732419, '1816751'
486,1732419, '1816541'
487,1732419, '1811907'
488,1732419, '1811693'
489,1732419, '1811272'
490,1732419, '1813911'
491,1732419, '1813123'
492,1732419, '1809016'
493,1732419, '1741261'
494,1732419, '1810742'
495,1732419, '1809096'
496,1732419, '1754213'
497,1732419, '23700300'
498,1732419, '23597716'
499,1732419, '23590981'
500,1732419, '12459789'
501,1732419, '2606542'
502,1732419, '2230067'
503,1732419, '2231859'
504,1732419, '2221843'
505,1732419, '2221238'
506,1732419, '1844880'
507,1732419, '1843500'
508,1732419, '1841860'
509,1732419, '1839956'
510,1732419, '1843521'
511,1732419, '1818636'
512,1732419, '1818181'
513,1732419, '1816774'
514,1732419, '1815870'
515,1732419, '1816751'
516,1732419, '1816541'
517,1732419, '1811907'
518,1732419, '1811693'
519,1732419, '1811272'
520,1732419, '1813911'
521,1732419, '1813123'
522,1732419, '1809016'
523,1732419, '1741261'
524,1732419, '1810742'
525,1732419, '1809096'
526,1732419, '1754213'
527,1732420,'234390298'
528,1732420, '304425438'
529,1732420, '268994686'
530,1732420, '255960059'
531,1732420, '249230556'
532,1732420, '249227818'
533,1732420, '238578978'
534,1732420, '237720172'
535,1732420, '234525050'
536,1732420, '234496249'
537,1732420, '234311248'
538,1732420, '234386998'
539,1732420, '234300082'
540,1732420, '234281505'
541,1732420, '234222422'
542,1732420, '228785066'
543,1732420, '234221746'
